id,tweets,likes,retweets,Tweet_Score,time,followers,friends,User_Score,location,key_word,inclakeontario
1.46612E+18,"30 Days of Giving 2021, day 6: Students at @sunyoswego take on the initiative of keeping #LakeOntario clean and inviting for people and wildlife. #SUNYGives:  https://t.co/lkHNoBuiZx",7,0,7,12/1/2021 18:55,29269,855,30979,New York,Clean,1
1.46538E+18,I have dogs.  Two BIG Bernese mountain dogs.  And three cats!  Dogs can STINK!  Grace in particular gets a nice sour smell in the summer after swimming in Lake Ontario.  It isn't known to be the https://t.co/5bfrlOlf2z #pets #cleanhouse,1,0,1,11/29/2021 18:01,420,782,1984,"Toronto, Ontario",Clean,1
1.4651E+18,"RT @NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0,3,6,11/28/2021 23:36,3226,884,4994,"Oakville, ON, Canada",Clean,1
1.46504E+18,"RT @NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0,3,6,11/28/2021 19:45,7916,558,9032,"Oakville, Ontario, Canada",Clean,1
1.465E+18,"If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the lake when people just throw the trash anywhere?
@Oakvillegreen @JanieFF @MayorRobBurton @henhere @ConservHalton 
#OakvilleNews
https://t.co/tacmpi6qQr",2,3,8,11/28/2021 16:41,7916,558,9032,"Oakville, Ontario, Canada",Clean,1
1.46341E+18,"@SharonM28627721 A Canadians’ perception of canada will be different depending on where you live, but we as people cannot move past this discussion without clean air to breathe or clean water to drink. my mom was able to swim in lake ontario when she wa",0,0,0,11/24/2021 7:27,296,401,1098,"⚒ ham, ont 🏹",Clean,1
1.46616E+18,"@Hubble_BTerrier We have them down the street at Lake Ontario and ours are very bold. One snatched a dog out of his yard last week. On our walks, Mum always keeps an eye out for garbage cans in case she has to stow us and sit on top! Snacks on a rope, she",4,0,4,12/1/2021 21:55,953,638,2229,"Toronto, Ontario",garbage,1
1.46609E+18,Future Environment Designs (#FEDTC) wins the 8th Annual Pro/Am PACNY Fishing Tournament on Lake Ontario https://t.co/I9QaATWuZk,0,0,0,12/1/2021 17:01,1102,2077,5256,"Syosset, New York",environment,1
1.46468E+18,"RT @WeatherManRed1: Winter Weather Travel advisory, 5-10 cm possible, Environment Canada stated possible lake enhancement and higher amount…",0,2,4,11/27/2021 19:45,783,773,2329,"Dundas, Ontario",environment,1
1.46467E+18,"Winter Weather Travel advisory, 5-10 cm possible, Environment Canada stated possible lake enhancement and higher amounts due to easterly winds off lake ontario! @IWeatherON Can't wait to see your snow forcast! Go winter! #onstorm",5,2,9,11/27/2021 19:17,37,10,57,,environment,1
1.46441E+18,@ReplicatorUnit @ChickeninBlack @TeresaM19445404 @TTChelps I suspect Toronto's proximity to Lake Ontario contributes to both the temperature shift and supply of moisture (or lack of ability for the environment to shed much extra here).,3,0,3,11/27/2021 1:27,2135,4720,11575,,environment,1
1.46625E+18,"Doing work (volunteer or paid) that helps others, paid work that covers bills + a little more, &amp; a respectful work environment may help work be sustainable &amp; fulfilling.",0,0,0,12/2/2021 3:43,742,2,746,,volunteer+litter+Ontario,0
1.46625E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,10,12/2/2021 3:27,31599,2294,36187,"Chilliwack, BC",volunteer+litter+Ontario,0
1.46623E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,10,12/2/2021 2:36,6842,3936,14714,Burnaby BC,volunteer+litter+Ontario,0
1.46623E+18,"@BenAmesy @timosh99 The problem with most shelters is they are packed, uncomfortable and dangerous. Not everyone is suited to surviving in that environment. All the city departments and volunteer groups could manage it, if they can put their own differenc",0,0,0,12/2/2021 2:19,96,275,646,"Hamilton, Ontario",volunteer+litter+Ontario,0
1.46623E+18,"RT @Amandeep1518: ""create good memories today so that u can have a good past""
Millions of volunteer of @derasachasauda do plantation,blood…",0,2,4,12/2/2021 2:02,432,463,1358,,volunteer+litter+Ontario,0
1.46623E+18,"RT @Amandeep1518: ""create good memories today so that u can have a good past""
Millions of volunteer of @derasachasauda do plantation,blood…",0,2,4,12/2/2021 1:59,21,4,29,"Rome, Lazio",volunteer+litter+Ontario,0
1.46623E+18,"""create good memories today so that u can have a good past""
Millions of volunteer of @derasachasauda do plantation,blood donation,cleanliness campaign and many more activities to protect Environment nd Humanity. These both things play vital role in our life.
#healthiswealth https://t.co/MUDM6nPigr",1,2,5,12/2/2021 1:58,954,43,1040,Ratia Haryana,volunteer+litter+Ontario,0
1.46621E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,10,12/2/2021 0:53,101,229,559,"Chilliwack, BC",volunteer+litter+Ontario,0
1.46621E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,10,12/2/2021 0:45,591,92,775,Chilliwack B.C.,volunteer+litter+Ontario,0
1.46621E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,10,12/2/2021 0:41,1292,1423,4138,"Fraser Valley B.C, Canada",volunteer+litter+Ontario,0
1.4662E+18,"Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetres of precipitation, according to our local volunteer weather observer for Environment Canada, Roger Pannett.
#weather",13,5,23,12/2/2021 0:37,2939,1497,5933,"Chilliwack, British Columbia",volunteer+litter+Ontario,0
1.46614E+18,RT @MindCymru: We’re hiring an Office and Volunteer Manager. If you enjoy ensuring a smoothly run working environment and have sound experi…,0,2,4,12/1/2021 20:13,3872,4774,13420,"Merthyr Tydfil, Wales",volunteer+litter+Ontario,0
1.46613E+18,"Apply today to become a South Dakota Master Naturalist! 
- Learn to think like a naturalist. 
- Learn about SD nature &amp; environment. 
- Contribute to citizen science.
- Volunteer in your community
Go to https://t.co/ra7mqeww7B for more info &amp; to sign up! https://t.co/mdqfSQ9Nxb",1,0,1,12/1/2021 19:56,132,88,308,"Pierre, SD",volunteer+litter+Ontario,0
1.46612E+18,"Want to help the environment &amp; volunteer? KUBAG have been removing rhododendron species from Kingston Hill woodland, so a new habitat can grow. You'll chop &amp; dig shrub out of the woodland! Interested? Sign up!

https://t.co/B5OQeUqPdF

#Kuextra #KingstonUniversity #kingstonaward https://t.co/FQM57wUfto",0,0,0,12/1/2021 19:01,45,37,119,,volunteer+litter+Ontario,0
1.46612E+18,"We're talking about PHE (Population, Health, and Environment) during our National Volunteer Call happening TOMORROW @ 5pm PT/8pm ET with Dr. Joan Castro, M.D. of PATH Foundation Philippines, Inc. (PFPI). Join us by signing up here! 
https://t.co/uhUnCnh8XB https://t.co/fH4izPGsgD",4,0,4,12/1/2021 18:49,5117,3061,11239,"Washington, DC",volunteer+litter+Ontario,0
1.46612E+18,RT @shanesmiley: @jhollymc The guy spent the day helping scrub graffiti off walls. He was a volunteer in a hostile environment. Good thing…,0,1,2,12/1/2021 18:45,344,926,2196,,volunteer+litter+Ontario,0
