id,tweets,likes,retweets,time,followers,friends,location,key_word,inclakeontario
1466118661194850306,"30 Days of Giving 2021, day 6: Students at @sunyoswego take on the initiative of keeping #LakeOntario clean and inviting for people and wildlife. #SUNYGives:  https://t.co/lkHNoBuiZx",7,0,2021-12-01 18:55:02,29269,855,New York,Clean,1
1465380359143661577,I have dogs.  Two BIG Bernese mountain dogs.  And three cats!  Dogs can STINK!  Grace in particular gets a nice sour smell in the summer after swimming in Lake Ontario.  It isn't known to be the https://t.co/5bfrlOlf2z #pets #cleanhouse,1,0,2021-11-29 18:01:17,420,782,"Toronto, Ontario",Clean,1
1465102448255770633,"RT @NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0,3,2021-11-28 23:36:58,3226,884,"Oakville, ON, Canada",Clean,1
1465044133282725893,"RT @NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0,3,2021-11-28 19:45:15,7916,558,"Oakville, Ontario, Canada",Clean,1
1464997890791809030,"If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the lake when people just throw the trash anywhere?
@Oakvillegreen @JanieFF @MayorRobBurton @henhere @ConservHalton 
#OakvilleNews
https://t.co/tacmpi6qQr",2,3,2021-11-28 16:41:30,7916,558,"Oakville, Ontario, Canada",Clean,1
1463409033507975168,"@SharonM28627721 A Canadians’ perception of canada will be different depending on where you live, but we as people cannot move past this discussion without clean air to breathe or clean water to drink. my mom was able to swim in lake ontario when she was a child- before there was blue algae.",0,0,2021-11-24 07:27:57,296,401,"⚒ ham, ont 🏹",Clean,1
1466118661194850306,"30 Days of Giving 2021, day 6: Students at @sunyoswego take on the initiative of keeping #LakeOntario clean and inviting for people and wildlife. #SUNYGives:  https://t.co/lkHNoBuiZx",7,0,2021-12-01 18:55:02,29269,855,New York,garbage,1
1465380359143661577,I have dogs.  Two BIG Bernese mountain dogs.  And three cats!  Dogs can STINK!  Grace in particular gets a nice sour smell in the summer after swimming in Lake Ontario.  It isn't known to be the https://t.co/5bfrlOlf2z #pets #cleanhouse,1,0,2021-11-29 18:01:17,420,782,"Toronto, Ontario",garbage,1
1465102448255770633,"RT @NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0,3,2021-11-28 23:36:58,3226,884,"Oakville, ON, Canada",garbage,1
1465044133282725893,"RT @NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0,3,2021-11-28 19:45:15,7916,558,"Oakville, Ontario, Canada",garbage,1
1464997890791809030,"If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the lake when people just throw the trash anywhere?
@Oakvillegreen @JanieFF @MayorRobBurton @henhere @ConservHalton 
#OakvilleNews
https://t.co/tacmpi6qQr",2,3,2021-11-28 16:41:30,7916,558,"Oakville, Ontario, Canada",garbage,1
